liste,rang,spruch,beschreibung,hinweise,schwarz1,schwarz2,schwarz3,schwarz4,schwarz5,rot1,rot2,rot3,rot4,rot5
Zeichen (Leitmagie),3,Symbol,"Mit dem Symbol kann Unleben (Leben) vertrieben werden. Ist das Zeichen zwei Stufen stärker als das Ziel, dann erleidet es für jede weitere Stufe einen Würfel (göttlichen) Schaden. Sind mehrere betroffen, dann werden alle Stufen aufsummiert. Beispielsweise vertreibt ein Priester mit einem fünf Stufen starken Symbol und es sind zwei Untote von je einer Stufe betroffen (Summe der Stufen: 2). Dann ist das Symbol drei Stufen stärker (5 - 2 = 3).  Damit werden nicht nur beide Untaten für eine Runde vertrieben, sondern erhalten auch noch einen Würfel Schaden (es verbleiben drei Stufen, damit ist es eine Stufe über zwei)!  Dunkle Priester können mit dem Symbol kein Unleben, sondern Leben vertreiben.","Sichtweite, Speziell","Dauer, 1 Runde vertreiben","Effekt, Stufe 1 vertreiben",,,,"Verst, +1 MP: +1 Runde","Verst, +1 MP: +1 Stufe",,,
Zeichen (Leitmagie),4,Weihe,"Mit dieser Form weiht der Formende einen Ort. Alle Gläubigen erhalten auf geweihtem Grund einen Manöverbonus von +1. Feinde des Gottes erhalten einen Manövermalus.","Berührung","Effekt, 3m²","Effekt, Feinde des Gottes haben einen Manövermalus -1","Dauer, ein Tag/Stufe des Formers",,,"Verst, +1 MP: +3m²","Verst,+1 MP: Manövermalus -1 (maximal 8)","Erw, +3 MP: Der Ort ist als geweihter Ort für alle erkennbar.",,
Zeichen (Leitmagie),5,Dauerhaftes Zeichen,"Dieses Zeichen markiert einen Ort/Gegenstand dauerhaft mit einem Spruch bis einschließlich Rang 4.","Berührung","Effekt, eine Auslösung",,,,,"Verst, +1 MP: eine weitere Aslösung","Erw, +5 MP: Die Magiepunkte für weitere Auslösungen werden erst bei einer Auslösung bezahlt und die Anzahl wird nicht vorher festgelegt. Das Dauerhafte Zeichen kann aber nur durch ein neues Dauerhaftes Zeichen an derselben Stelle aufgelöst werden.",,,
Zeichen (Leitmagie),6,Wunder,"Ein nicht vorher bestimmbares Wunder passiert (Entscheidung des Spielleiters), wenn dieses Zeichen geformt wird.","Speziell",,,,,,,,,,
Zeichen (Leitmagie),7,Erdbeben,"Lässt die Erde erzittern. Das Beben kündigt sich 15 Minuten lang durch kleinere Vorbeben an. Die hier angegebene Stärke ist äquivalent zur Richterskala zu sehen.","Sichtweite","Effekt, Radius von 5m","Effekt, Beben der Stärke 4","Dauer, eine Minute","Reichweite, Sichtlinie",,"Verst, +2 MP: +5m Radius","Verst, +10 MP: +1 Stärkegrad (maximal 8)","Verst, +5 MP: +1 Minute","Erw, +10 MP: Die Erde reißt auf und heiße Dämpfe entweichen (ein Würfel Schaden für alle im Bereich)",
Zeichen (Leitmagie),8,Sintflut,"Innerhalb von 10 Minuten zieht sich alles am Himmel zusammen und es beginnt dramatisch zu regnen: Pro Minute fallen 100ml/m².","Sichtweite","Dauer, eine Stunde",,,,,"Verst, +2 MP: +1 Stunde (maximal 10 Stunden)",,,,
Zeichen (Leitmagie),9,Feuerregen,"Wenn der „Feuerregen geformt wird, dann zieht sich der Himmel innerhalb von fünf Minuten zu. Die meisten Tiere flüchten. Es regnet heiße Lava im Umkreis und entzündet alles Brennbare. Funktioniert nur unter freiem Himmel. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Effekt, Umkreis von 5m","Effekt, Schaden entsprechend dem Angriff plus einen Würfel Bonusschaden","Dauer, eine Minute","Reichweite, Sichtlinie",,"Verst, +5 MP: +5m Umkreis","Verst, +5 MP: +1 Minute","Erw, +0 MP: Eisregen statt Feuerregen (sonst identisch)",,
Zeichen (Leitmagie),10,Blitz,"Dieses Zeichen ruft einen Blitz, der vor dem Einschlag auffächert und ein ganzes Feld krachend übersäht.","Sichtweite, Gezielt","Effekt, 3m²","Effekt, Effekt, Schaden entsprechend dem Angriff plus einen Würfel Bonusschaden","Reichweite, Sichtlinie",,,"Verst, +10 MP: +3m²","Verst, +5 MP: +1 Würfel Bonusschaden (maximal +5 Würfel)",,,
Wunder (Leitmagie),1,Heilung,"Dieses Wunder verspricht sofortige Heilung.","Berührung","Effekt, heilt 4 TP",,,,,"Verst, +1 MP: +4 TP",,,,
Wunder (Leitmagie),2,Genesung,"Dieses Wunder vermag blutende Wunden zu verschließen oder eine Vergiftung zu heilen oder einen erlittenen Dieses Wund er vermag blutende Wunden zu verschließen oder eine Vergiftung zu heilen oder einen erlittenen Attributsschaden zu kurieren.","Berührung","Effekt, heilt eine Blutung 1","Effekt, heilt eine Vergiftung (Giftrang 1)","Effekt, heilt einen Attributspunkt",,,"Verst, +2 MP: +1 Blutung","Verst, +1 MP: +1 Rang","+3 MP: +1 Attributspunkt",,
Wunder (Leitmagie),3,Göttlicher Schlag,"Die Waffe des Gottes! Entweder wird eine bereits getragene Waffe verstärkt oder es erscheint die Waffe des Gottes in der Hand des Formers.",,"Effekt, Waffe +1","Effekt, Effekt, Schaden entsprechend dem (Waffen-)Angriff","Dauer, eine Stunde",,,"Verst, +2 MP: Waffe =1 (maximal 5 einschließlich anderer magischer Waffenvorteile)","Verst, +2 MP: Schaden +1 (maximal +3)","Erw, +5 MP: Jeder Treffer verursacht mindestens eine Blutung.",,
Wunder (Leitmagie),4,Beistand,"Das Wunder erbittet göttlichen Beistand.","Sichtweite","Effekt, Fünf Personen","Manöverbonus +1","Dauer, eine Runde","Reichweite, Sichtlinie",,"Verst, +1 MP: +5 Personen","Verst, +1 MP: Manöverbonus +1 (maximal +3)","Verst, +1 MP: +1 Runde",,
Wunder (Leitmagie),5,Segnung,"Alle Gläubigen werden durch durch diese Form gesegnet. Diese Segnung kann zusammen mit der Tagesmesse eines Priester, kombiniert werden. Im Gegensatz zu dieser wirkt dieses Wunder sofort, aber nur für Gläubige und eine kürzere Zeit.","Sichtweite, Hörweite","Effekt, Manöverbonus +1","Dauer, eine Stunde","Reichweite, Hör- und Sichtweite",,,,,,,
Wunder (Leitmagie),6,Fluch,"Verflucht eine bekannte Person. Die Art des Fluches hängt vom Gott ab (Entscheidung des Spielleiters). Mehr dazu für Spielleiter im Spielleiterheft.","Speziell","Dauer, ein Tag",,,,,"Verst, +1 MP: +1 Tag",,,,
Wunder (Leitmagie),7,Erlösung,"Verbannt eine beschworene Kreatur, bis sie-erneut gerufen wird, oder vernichtet eine untote Kreatur dauerhaft.","Sichtweite","Effekt, Kreatur der Stufe 1","Reichweite, Sichtlinie",,,,"Verst, +1 MP: Stufe +1",,,,
Wunder (Leitmagie),8,Einwirkung,"Diese Form ermöglicht das dauerhafte Binden eines Wunders bis einschließlich Rang 3 zu den jeweiligen MP-Kosten.","Berührung",,,,,,,,,,
Wunder (Leitmagie),9,Göttliches Eingreifen,"Wenn dieser Spruch geformt wird, dann darf man einen Würfelwurf sofort wiederholen.","Speziell",,,,,,,,,,
Wunder (Leitmagie),10,Wiedererweckung,"Die Form erbittet eines der größten denkbaren Wunder und erweckt eine Kreatur wieder zum Leben.","Berührung","Effekt, Kreatur ist nicht länger als einen Tag tot",,,,,"Verst, +3 MP: +1 Tag",,,,
Bardenmagie (Leitmagie),1,Freundliche Weise,"Diese Weise gewährt dem Barden einen Bonus von +2 auf seine Einflussnahme.","Hörweite","Dauer, 10 Minuten","Betroffen, drei Personen","Reichweite, Hörweite",,,"Verst, +1 MP: +10 Minuten","Verst, +1 MP: +3 Personen",,,
Bardenmagie (Leitmagie),2,Ablenkung,"Für die Dauer des Auftritts ist jeder in Hör- oder Sichtweite (je nach Art des Auftritts) wie gebannt. Alle anderen Geschehnisse sind nur schwer wahrzunehmen (Manöver sind erschwert).","Hörweite, Sichtweite","Effekt, Manövermalus -1","Dauer, Dauer des Auftritts (mind. 5 Runden)",,,,"Verst, +1 MP: ein weiterer Manövermalus -1","Verst, +5 MP: Wirkt so lange noch fort, wie gespielt wurde",,,
Bardenmagie (Leitmagie),3,Lied des Beistands,"Das Lied heilt oder gewährt einen Bonus auf das nächste Manöver.","Hörweite","Effekt, heilt 1 TP","Effekt, Manöverbonus +1","Betroffen, drei Personen",,,"Verst, +1 MP: +1 TP","+1 MP: weiterer Manöverbonus +1 (maximal +5)","Verst, +1 MP: +3 Runden",,
Bardenmagie (Leitmagie),4,Zeichen des Banns,"Kein beschworenes Wesen kann die markierte Schwelle übertreten.","Berührung","Dauer, eine Stunde",,,,,"Verst, +1 MP: +1 Stunde",,,,
Bardenmagie (Leitmagie),5,Laut des Vergessens,"Der Laut lässt die letzten Minuten vergessen. Die Erinnerungen sind nicht unwiderruflich verloren, vielmehr gelten sie solange als blockiert, bis die Blockade gelöst wird. Dazu braucht es entweder sehr große Emotionen oder Magie.","Hörweite, Gezielt","Effekt, die letzten 5 Minuten","Betroffen, eine Person","Reichweite, Hörweite",,,"Verst, +1 MP: +5 Minuten","Verst, +1 MP: +1 Person",,,
Bardenmagie (Leitmagie),6,Legende,"Der Barde kann die Identität eines Fremden annehmen (keine Person, die existiert oder existiert hat).","Speziell","Dauer, eine Stunde",,,,,"Verst, +1 MP: +1 Stunde",,,,
Bardenmagie (Leitmagie),7,Elemente,"Der Formende kann ein Element in einem Angriff als Waffe einsetzen. Die Wirkung ist nur möglich, wenn das Element vorhanden ist. Die Fortwirkung ist nur möglich, wenn keine Gegenmaßnahmen erfolgreich waren (zum Beispiel das Feuer nicht gelöscht wurde).","Sichtweite, Gezielt","Effekt, Schaden entsprechend des Angriffs (Schaden +2)","Effekt, Schaden wirkt eine Runde fort (gleiche Höhe)","Reichweite, Sichtlinie",,,"Verst, +1 MP: Schaden +1 (maximal +8)","Verst, +1 MP: +1 Runde Fortwirkung",,,
Schamanenmagie (Leitmagie),1,Heilen,"Durch das Auflegen seiner Hände kann der Schamane eine Person heilen.","Berührung","Effekt, heilt 1 TP",,,,,"Verst, +1 MP: +1 TP",,,,
Schamanenmagie (Leitmagie),2,Trance,"Der Schamane kann sich in einen Trance zustand versetzen, um die wahre Natur eines berührten Objektes zu erhellen. Kann zu m Beispiel eingesetzt werden, um Trübungen zu überwinden oder getarnte Sachen zu erkennen.  Die Formung gibt aber auch Geheimnisse der Sache preis. Der Erkenntnispunkt kann als Manöverbonus eingesetzt werden. Ein Manöver ist in jedem Fall notwendig.","Berührung","Effekt, Erkenntnis +1 (Manöverbonus)","Dauer, eine Runde",,,,"Verst, +1 MP: +1 Erkenntnispunkt","Verst, +1 MP: +1 Runde",,,
Schamanenmagie (Leitmagie),3,Heiliger Bezirk,"Der Schamane kann einen Ort weihen. Alle Feinde, die den geweihten Bereich betreten, erhalten einen Manövermalus.","Berührung","Effekt, 1m²","Manövermalus -1","Dauer, ein Tag/Stufe",,,"Verst, +1 MP: +1m²","Verst, Manövermalus -1 (maximal 8)","Erw, +5 MP: Feinde der Gottheit werden automatisch für (Manövermalus in Tagen) verflucht.",,
Schamanenmagie (Leitmagie),4,Unterschlupf,"Die Form erschafft einen Unterschlupf (eine Höhle in einem großen Baum, einem Felsen oder im Boden).","Berührung","Effekt, Platz für vier Personen","Dauer, drei Stunden",,,,"Verst, +1 MP: +4 Personen","Verst, +1 MP: +3 Stunden",,,
Schamanenmagie (Leitmagie),5,Naturgeist,"Hiermit kann ein Geist der Natur beschworen werden, der dem Schamanen dient. Die Fähigkeiten des Geistes hängen von siner Art ab (der Spielleiter entscheidet).","Sichtweite","Effekt, Stufe 1 Naturgeist","Dauer, eine Stunde","Reichweite, Sichtweite",,,"Verst, +1 MP: +1 Stude (max. Stufe ist die Hälfte der des Schamanen)","Verst, +1 MP: +1 Stunde",,,
Schamanenmagie (Leitmagie),6,Verfluchen,"Der Fluch eines Schamanen ist hinterhältig und äußerst gefährlich. Der Spielleiter entscheidet über die konkrete Art.","Speziell","Dauer, ein Tag","Betroffen, eine Person",,,,"Verst, +1 MP: +1 Tag","Verst, +4 MP: +1 Person",,,
Schamanenmagie (Leitmagie),7,Prophezeiung,"Der Schamane kann in die mögliche Zukunft einer Person blicken.","Berührung, Gezielt","Effekt, 1 Tag voraus",,,,,"Verst, +1 MP: +1 Tag weiter in der Zukunft",,,,
Schamanenmagie (Leitmagie),8,Bann brechen,"Hebt einen Zauber auf. Der Spielleiter kann auch eine teilweise Aufhebung gestatten.","Berührung","Effekt, Zauber Rang 1",,,,,"Verst, +1 MP: +1 Rang",,,,
Schamanenmagie (Leitmagie),9,Erdbeben,"Lässt die Erde Im Umkreis für einen Würfel in Minuten lang erzittern. Das Beben kündigt sich 10 Minuten lang durch kleinere Vorbeben an. Die hier angegebene Stärke ist äquivalent zur Richterskala zu sehen. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Effekt, Radius von 10m","Effekt, Beben der Stärke 4","Reichweite, Sichtweite",,,"Verst, +2 MP: +10m Radius","Verst, +10 MP: +1 Stärkegrad (maximal 8)","Erw, +10 MP: Giftige Dämpfe entweichen und richten einen Würfel Schaden an.",,
Schamanenmagie (Leitmagie),10,Wunder der Natur,"Erschafft/Verändert dauerhaft im Umkreis die Vegetation (nach Wahl des Schamanen).","Berührung","Effekt, Radius von 3m",,,,,"Verst, +3 MP: +3m Radius",,,,
